obs, insertion, bubble, selection, merge, type
327, 152.438, 1.487, 296.069, 1.226, List
327, .404, 27.900, 54.482, .906, Array
328, 152.269, 1.706, 298.351, 1.212, List
328, .409, 28.079, 54.826, .909, Array
329, 151.948, 1.471, 300.038, 1.195, List
329, .406, 69.663, 72.048, .910, Array
330, 157.709, 1.652, 309.332, 1.205, List
330, .409, 28.385, 55.297, .973, Array
331, 158.731, 1.716, 303.729, 1.209, List
331, .415, 28.598, 55.546, .916, Array
332, 156.409, 1.656, 305.355, 1.234, List
332, .418, 28.847, 55.988, .922, Array
333, 162.420, 1.716, 307.479, 1.254, List
333, .411, 28.921, 56.263, .927, Array
334, 174.371, 1.629, 318.060, 1.230, List
334, .425, 42.142, 66.762, .928, Array
335, 160.891, 1.578, 316.422, 1.223, List
335, .414, 29.330, 57.051, .948, Array
336, 164.693, 1.673, 325.340, 1.240, List
